,resultUom,phenomenonTimeReferenceYear,resultMeanValue,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent,pollution_status
78,mg{N}/L,2009,0.5478,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
79,[pH],2009,6.6396,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
80,ug/L,2016,0.05,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
81,ug/L,2016,0.02,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
82,ug/L,2016,106.03,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,0
83,mg{NO3}/L,2009,3.8253707,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
84,mg{Si}/L,2009,13.9065,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
85,mg{N}/L,2009,1.8495,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
86,%,2009,82.2333,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
87,mg{N}/L,2009,1.04152,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
88,mg{NO3}/L,2009,4.54838834,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
89,uS/cm,2009,177.75,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
90,mg{N}/L,2009,2.65475,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
91,[pH],2009,7.23888,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
92,{massRatio},2009,32.8349,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,2
93,ug/L,2016,100.0,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,0
94,mg{N}/L,2007,1.7923,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
95,mg{N}/L,2007,3.1944,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
96,mg{N}/L,2007,0.0728,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
97,mg{N}/L,2007,0.0845,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
98,mg{N}/L,2007,7.4808,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
99,mg{N}/L,2007,0.4696,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
100,mg{N}/L,2007,0.142,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
101,Cel,2009,9.1,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
102,[pH],2012,8.14583,Lithuania,44.7230757742448,17.622537763760466,1538269.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92,1
103,mg{NO3}/L,2009,7.7047507999999985,Portugal,112.2619412173,14.289474436432974,7024884.0,-21250.125,0.0018023353028219,21.179404364691845,11.178816281655369,231745178666.337,36.49,6.73,1.85,27.680000000000003,13.64,10.72,0.0,0.93,1.94,16.23,1
104,mg{O2}/L,2009,1.8778,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
105,mg{N}/L,2006,0.6203,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
106,mg{N}/L,2006,2.492,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25,1
107,mg{P}/L,2011,0.0198909,Austria,107.127966860564,28.413315299263893,19909000.0,74021.25,0.0381529782796336,0.0,13.546450447601153,420040461384.701,31.4,7.0,4.4,18.5,19.7,11.1,0.0,7.9,0.0,25.66,1
